round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.006656169999999406,0.004619233999996197,0.000274505000000147,0.0004897797480225563,5.27920201420784e-06,1.3646204024553299e-05,0.012125981971621513,0.02418459612567858,36.350955389,0.02418459612567858,36.350955389,0.15053185085157086,0.10272890458346838,0.1024,2.2993133309521254,0.1024,0.14356586447368586,0.9852783416679045,0.014721658332095489
1,0.002443888999998478,0.003904811999994706,0.00026237299999820607,0.0004774271510541439,4.91878017783165e-06,1.1922791600227356e-05,0.012180805206298828,0.01928614792912242,23.569129437999997,0.043470744054801,59.920084827,0.2102433398270428,0.1209497580773312,0.1208,2.2863932410372962,0.1208,0.14598541202020035,0.9804508920466736,0.019549107953326428
2,0.002095545000003085,0.0013128160000093203,0.00026814400000318983,0.0004998878575861454,5.290377885103226e-06,1.3013835996389389e-05,0.011905208230018616,0.01609990530150185,23.405964903000005,0.05957064935630285,83.32604973,0.24934509306035588,0.16944718375180803,0.17,2.2669012878514545,0.17,0.14554710510524196,0.9803271112871549,0.019672888712845116
3,0.0021223359999993363,0.0012865959999999177,0.00026131100000270635,0.00046062516048550606,5.24008646607399e-06,1.1892057955265045e-05,0.012082090135663748,0.016230090440572553,23.218370800000002,0.0758007397968754,106.54442053,0.27478156432854467,0.2067310275782314,0.20710000000000003,2.241277845599983,0.2071,0.14498007026960302,0.9799640210592332,0.020035978940766808
4,0.0021038010000040686,0.0013095390000046336,0.00026986700000009023,0.00046470295637845993,5.2801333367824554e-06,1.2111850082874298e-05,0.012873576022684574,0.017038877962491483,23.357124069999998,0.09283961775936689,129.9015446,0.2924504589272741,0.23608538630263964,0.23709999999999998,2.2096181640142127,0.2371,0.1445487067922489,0.9798567444009837,0.020143255599016308
5,0.002199851000000308,0.0013100699999881726,0.0002650280000011662,0.00046229781582951546,4.26778569817543e-06,1.2212898582220078e-05,0.012173992116004229,0.016427719616103786,23.387193988000007,0.10926733737547067,153.288738588,0.3077450973553613,0.2657949812877012,0.26609999999999995,2.173192513139942,0.2661,0.1441454383501412,0.9792625967552937,0.0207374032447063
6,0.002231090000009317,0.0013080360000117253,0.0002537960000097428,0.0004822351038455963,5.109701305627823e-06,1.3143755495548248e-05,0.013136459048837423,0.01742986960951498,23.44255984,0.12669720698498566,176.731298428,0.3208083109556204,0.29043037164297975,0.2908,2.1327550924277006,0.2908,0.14371440592841217,0.97943588981862,0.020564110181380046
7,0.0021755549999795676,0.001306102999990344,0.00026236300001869495,0.0004845499061048031,4.828907549381256e-06,1.2303236871957779e-05,0.013411746826022863,0.017657449876537612,23.211288693,0.14435465686152327,199.942587121,0.3325675013557183,0.31685786632748053,0.31740000000000007,2.089924866640115,0.3174,0.1434892730046435,0.9795596705781386,0.02044032942186136
8,0.0021379750000107833,0.002835605000001351,0.0002621820000001662,0.000486843753606081,4.289206117391586e-06,1.2532807886600494e-05,0.013811998069286346,0.01955142583690872,23.423064697,0.163906082698432,223.365651818,0.34401644514176827,0.33903089401433056,0.3391,2.0461106873765775,0.3391,0.1429243543828775,0.9796256869832153,0.020374313016784718
9,0.0021618099999898277,0.0013543039999888151,0.0002647469999885743,0.0004945481196045876,5.510170012712479e-06,1.2853648513555527e-05,0.012622703798115253,0.016916476736213326,23.362228918,0.1808225594346453,246.727880736,0.35446317785975245,0.35400772515078877,0.3544,2.001326748087436,0.3544,0.1426568940561866,0.980541664603654,0.019458335396346005
