round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.009514037999998948,0.006434976000001313,0.0002717719999978385,0.0009517930448055267,5.841255187988281e-06,0.0,0.0,0.017178420299991615,17.30250254,0.017178420299991615,17.30250254,0.8879977977075701,0.2928687943608595,0.2917,2.224245952721983,0.2917,0.3893189957144807,1.0,0.0
1,0.0027206060000004584,0.00337758399999899,0.00026624199999858433,0.0009537171572446823,5.880836397409439e-06,0.0,0.0,0.007324029993640124,4.436005633000001,0.02450245029363174,21.738508173,0.9062238793337336,0.662946617343415,0.6623,2.075192496418572,0.6623,0.4058206245132083,1.0,0.0
2,0.002790748000002452,0.001511167999996843,0.0002541789999987998,0.0009611407294869423,5.509704351425171e-06,0.0,0.0,0.005522745433836462,4.429006705999999,0.0300251957274682,26.167514879,0.9174742072579957,0.8295167424543917,0.8294999999999999,1.8798487342584629,0.8295,0.40642758532833795,1.0,0.0
3,0.002797331000000014,0.001449370999999644,0.00025707400000030134,0.000954087357968092,5.440320819616318e-06,0.0,0.0,0.005463303678787668,4.425575912999999,0.03548849940625587,30.593090791999998,0.9244199312902018,0.8957428632274449,0.8957,1.655733679811033,0.8957,0.39855815739541983,1.0,0.0
4,0.002755190999998547,0.001474367999996673,0.0002555820000011977,0.0009499499574303627,6.000977009534836e-06,0.0,0.0,0.005441091934436315,4.458754330000001,0.040929591340692184,35.051845122,0.9311139420558449,0.921080917627783,0.9214000000000001,1.4080758426136102,0.9214,0.39666723891173694,1.0,0.0
5,0.0027591890000024932,0.0015233800000018505,0.00025394899999753306,0.0009246519766747952,5.24008646607399e-06,0.0,0.0,0.005466410063142746,4.430359074000002,0.04639600140383493,39.482204196000005,0.9364837431810158,0.93466656799913,0.9353999999999999,1.1577516573305708,0.9354,0.38849995960878325,1.0,0.0
6,0.002795216999999184,0.001448979999999267,0.00026602099999450957,0.0009475448168814182,5.459878593683243e-06,0.0,0.0,0.005463222695468062,4.42678489,0.05185922409930299,43.908989086000005,0.9412589920226541,0.9437943905555084,0.9448000000000002,0.9232530645288217,0.9448,0.3789552444374335,1.0,0.0
7,0.002764147000000605,0.004608742999998583,0.0002510630000003289,0.0008958778344094753,5.470123142004013e-06,0.0,0.0,0.008525300957550996,4.4648437130000005,0.06038452505685399,48.373832799000006,0.9454109028360259,0.94856749592027,0.9497,0.7102111056208992,0.9497,0.377336412569201,1.0,0.0
8,0.002777913999999271,0.001569437000000562,0.00026098199999324834,0.0009426451288163662,5.249865353107452e-06,0.0,0.0,0.005556227994162555,4.425548565,0.06594075305101654,52.799381364000006,0.9486876565216353,0.9524957560670719,0.9534000000000001,0.5376487918936026,0.9534,0.368261218515499,1.0,0.0
9,0.002814562000004628,0.001484898000001067,0.00026269499999642676,0.0009514722041785717,5.300156772136688e-06,0.0,0.0,0.00551892736095283,4.458773242999996,0.07145968041196937,57.258154607,0.9518822910933432,0.9553374991547322,0.9562000000000003,0.40789238741984385,0.9562,0.35639639333436124,1.0,0.0
10,0.0027021910000044613,0.0014894359999999551,0.0002576649999994629,0.0009604985825717449,5.390029400587082e-06,0.0,0.0,0.005415180611976211,4.447013973000004,0.07687486102394558,61.705168580000006,0.9538712686364961,0.9575364753866711,0.9582999999999999,0.316658854389343,0.9583,0.34173927298927453,1.0,0.0
11,0.002771960999993439,0.00152768800001013,0.0002543089999988979,0.0009598280303180218,4.848930984735489e-06,0.0,0.0,0.005518634961305224,4.449073844999994,0.08239349598525081,66.154242425,0.9569938850106596,0.9592534603463845,0.9598999999999998,0.24996957601830602,0.9599,0.3352143315022798,1.0,0.0
12,0.0028093320000124322,0.0014882029999938595,0.00027118100000222967,0.000966981053352356,5.200039595365524e-06,0.0,0.0,0.005540897092956243,4.448723063000003,0.08793439307820705,70.60296548800001,0.9587171483018215,0.9609143767174619,0.9613999999999998,0.20405311580187976,0.9614,0.32154310454841273,1.0,0.0
13,0.002826273000010815,0.0014968690000074503,0.00025435900001014033,0.0009476151317358017,5.520880222320557e-06,0.0,0.0,0.005530637011986528,4.465220823999999,0.09346503009019358,75.06818631200001,0.9607262880131678,0.9620445186895221,0.9627,0.17137995875253084,0.9627,0.31158886824870546,1.0,0.0
14,0.0027592769999955635,0.0014843059999947172,0.00025876799999480227,0.0009543281048536301,5.300156772136688e-06,0.0,0.0,0.00546197926161085,4.459835743999989,0.09892700935180443,79.528022056,0.9609128199727629,0.9633627162239535,0.9639000000000002,0.15102081659574287,0.9639,0.28936298096884333,1.0,0.0
15,0.002805112999993753,0.00148023799999919,0.0002534979999921916,0.0009590359404683113,5.629844963550568e-06,0.0,0.0,0.005503514785416996,4.450516800000003,0.10443052413722143,83.978538856,0.965962420461327,0.9653547491638729,0.9656000000000001,0.13326706595052354,0.9656,0.29488783248578,1.0,0.0
16,0.0027793950000045697,0.001503572000004283,0.00025615200000572713,0.0009461320005357265,4.6389177441596985e-06,0.0,0.0,0.005489889918294466,4.472767955999998,0.10992041405551589,88.451306812,0.9656267758953875,0.9665525407324442,0.9667999999999998,0.12183055729150011,0.9668,0.2750588762575612,1.0,0.0
17,0.0028075080000036223,0.0014741059999892059,0.0002523960000075931,0.0009685740806162357,5.820766091346741e-06,0.0,0.0,0.005508404846708004,4.483997134000006,0.1154288189022239,92.935303946,0.9689054318179874,0.9674412106477974,0.9674999999999998,0.11335303523122503,0.9675,0.2710877325414844,1.0,0.0
18,0.0027875600000015766,0.0014492399999994632,0.0002548299999887149,0.0009699370712041855,5.8212317526340485e-06,0.0,0.0,0.005467388302946574,4.4472141619999945,0.12089620720517047,97.382518108,0.970153067064958,0.9686984479113868,0.9687,0.10604845762353973,0.9687,0.2662151898012634,1.0,0.0
19,0.002792468999999187,0.0014984720000086327,0.0002597390000005362,0.0009517930448055267,5.249865353107452e-06,0.0,0.0,0.00550772291016699,4.440420485000004,0.12640393011533746,101.822938593,0.9709756424319783,0.9697869240813645,0.9696999999999999,0.10104518274839122,0.9697,0.2561918326635259,1.0,0.0
20,0.0027062759999978425,0.0014762500000102818,0.00024961999999106865,0.0009752670302987099,4.819128662347794e-06,0.0,0.0,0.005412232158960251,4.424394257999992,0.1318161622742977,106.247332851,0.9698633895334244,0.9703657975756044,0.9702000000000001,0.09784144538859375,0.9702,0.24152781686587352,1.0,0.0
21,0.0028071460000091975,0.001507508999992524,0.0002534179999997832,0.0009524328634142876,5.110166966915131e-06,0.0,0.0,0.005525616030382707,4.4379284660000025,0.13734177830468042,110.685261317,0.972448023702556,0.9711191541388245,0.9708000000000001,0.0943957931055619,0.9708,0.23602483989169562,1.0,0.0
22,0.0027707280000015544,0.0015506399999907217,0.0002530770000106486,0.0009606289677321911,5.851034075021744e-06,0.0,0.0,0.0055409250018101375,4.435297489000007,0.14288270330649055,115.120558806,0.9743107526165192,0.9719595878163751,0.9718,0.09152550618952741,0.9718,0.23428327496027926,1.0,0.0
23,0.0027664490000063324,0.0015377459999967868,0.00025456999999562413,0.0009618708863854408,5.480367690324783e-06,0.0,0.0,0.005526116254074509,4.421914733000008,0.14840881956056506,119.54247353900001,0.9748103222660335,0.9731138949832072,0.9731000000000001,0.08964297085362204,0.9731,0.22484292722806065,1.0,0.0
24,0.002715211999998246,0.0015557600000022376,0.0002568839999952388,0.0009517217986285686,4.969071596860886e-06,0.0,0.0,0.005484546870221152,4.455621464000004,0.15389336643078622,123.99809500300002,0.9740272285472155,0.9734226186045557,0.9733,0.08779044427757209,0.9733,0.21498181826412818,1.0,0.0
25,0.002732364999999959,0.0015268949999978076,0.0002549400000049218,0.0009677419438958168,5.130190402269363e-06,0.0,0.0,0.0054870721343007745,4.465897480999999,0.159380438565087,128.46399248400002,0.9765663147352432,0.9743438886834048,0.9741999999999998,0.0861534275696241,0.9742,0.21597478990708674,1.0,0.0
26,0.0028038700000081462,0.0015339980000135256,0.00025530100000992206,0.0009543066844344139,5.200039595365524e-06,0.0,0.0,0.005552675724061373,4.411909621000007,0.16493311428914836,132.87590210500002,0.9776066546516096,0.9748095180208103,0.9746000000000001,0.08488330079972321,0.9746,0.21065646892792325,1.0,0.0
27,0.002809810000002244,0.0015056539999989127,0.00025544100000729486,0.0009865472093224525,5.018897354602814e-06,0.0,0.0,0.005562471106685507,4.4753350160000025,0.17049558539583387,137.35123712100003,0.9773204820485516,0.9753818294411731,0.9750999999999999,0.08384147029520331,0.9751,0.20342538586282188,1.0,0.0
28,0.002741732000004049,0.0015434459999994488,0.00025451900000916794,0.0009673908352851868,5.220063030719757e-06,0.0,0.0,0.005512307898328572,4.454618925999995,0.17600789329416244,141.80585604700002,0.978409041561425,0.9758149803759454,0.9756,0.08265512319822489,0.9756,0.20085253994905197,1.0,0.0
29,0.0028022650000139038,0.0015488459999914994,0.00025990899999328576,0.0009578936733305454,5.109701305627823e-06,0.0,0.0,0.005574023374634862,4.463238232000009,0.1815819166687973,146.26909427900003,0.9792718488463447,0.976412001826393,0.9762000000000001,0.08147615246224059,0.9762,0.19771579471895653,1.0,0.0
30,0.0028012229999774263,0.0015377549999868734,0.0002542990000051759,0.0009600282646715641,4.649162292480469e-06,0.0,0.0,0.00555795442693352,4.421782844000006,0.18713987109573083,150.69087712300004,0.9791386311625686,0.9770930004150248,0.9768000000000002,0.08035885153179126,0.9768,0.19379893709460913,1.0,0.0
31,0.0027427630000147474,0.0015292790000103196,0.00025465999999596534,0.0009786318987607956,5.108769983053207e-06,0.0,0.0,0.005510442668764881,4.452202357999994,0.1926503137644957,155.14307948100003,0.9803282093691451,0.9772994765158658,0.977,0.07954486936740666,0.977,0.190253089875067,1.0,0.0
32,0.0027677599999833546,0.0015550580000081027,0.0002558720000251924,0.0009548668749630451,5.289912223815918e-06,0.0,0.0,0.005538846787203511,4.461422397000007,0.19818916055169922,159.60450187800004,0.9803115759922391,0.9771372719261967,0.9769000000000001,0.07847027718333138,0.9769,0.18785540046980426,1.0,0.0
33,0.002819447000007358,0.0015095819999828564,0.0002616120000027422,0.0009809569455683231,5.459878593683243e-06,0.0,0.0,0.005577057824154963,4.460768201999997,0.20376621837585418,164.06527008000003,0.9793941204456633,0.9776385064522928,0.9773999999999998,0.07745317333975224,0.9774,0.1822863816734737,1.0,0.0
34,0.002731291999992891,0.0015564200000142137,0.00026045999999269043,0.0009665591642260551,5.43985515832901e-06,0.0,0.0,0.005520171019384179,4.467602342000021,0.20928638939523836,168.53287242200005,0.981263199496437,0.9782540463142338,0.9780999999999999,0.07655624634721658,0.9781,0.1824078903572648,1.0,0.0
35,0.0027942190000089795,0.0014648570000019845,0.0002552899999841429,0.0009573018178343773,5.24008646607399e-06,0.0,0.0,0.005476907904295558,4.445658334000001,0.21476329729953392,172.97853075600005,0.9814854776807529,0.9787587194912416,0.9786,0.07585300242989704,0.9786,0.17886628466054572,1.0,0.0
36,0.0027555270000050314,0.0015764169999954447,0.0002589780000050723,0.0009726211428642273,5.410052835941315e-06,0.0,0.0,0.005568953195705717,4.436666089000028,0.22033225049523963,177.41519684500008,0.9822856346882233,0.9788370584823264,0.9787,0.07546668667413187,0.9787,0.17682653369685677,1.0,0.0
