round,time_to_normalize_gradients,time_to_aggregate_gradients,time_to_update_server_model,time_to_compute_cosine_similarities,time_to_normalize_importance_coefficient,time_to_compute_tanh_vals,time_to_compute_sparsified_gradients,round_total_server_only_computation_time,round_duration,total_server_only_computation_time,total_time,round_clients_local_training_dataset_average_accuracy,round_clients_local_testing_dataset_average_accuracy,round_clients_central_testing_dataset_average_accuracy,round_server_central_testing_dataset_loss,round_server_central_testing_dataset_accuracy,flattened_aggregated_gradient_norm,aggregated_gradient_non_zero_fraction,aggregated_gradient_sparsity
0,0.009569880999997338,0.006317284000001422,0.0002639659999985611,0.0009395340457558632,6.211921572685242e-06,1.4266930520534515e-05,0.01741442224010825,0.034525566137954655,17.419783935,0.034525566137954655,17.419783935,0.8921497151352803,0.2609010272221842,0.2597999999999999,2.1826505539135432,0.2598,0.39252270565292197,1.0,0.0
1,0.0036405159999972625,0.006238956000000684,0.00026436699999976554,0.0009090970270335674,5.841255187988281e-06,1.31949782371521e-05,0.01928901206701994,0.03036098432747636,4.53519107,0.06488655046543101,21.954975005,0.9052267955464518,0.5939308983224322,0.5951000000000001,2.022714259906318,0.5951,0.403160977474131,1.0,0.0
2,0.0027231840000006002,0.0014919019999979355,0.000272140999999948,0.0009751408360898495,5.1390379667282104e-06,1.3485085219144821e-05,0.019240241032093763,0.02472123299136797,4.517037910000003,0.08960778345679898,26.472012915000004,0.9174334150325283,0.8178511827778183,0.8198000000000002,1.8217150826042834,0.8198,0.40518596441388127,1.0,0.0
3,0.002780130999997965,0.001533550000001327,0.0002691150000018183,0.0009678369387984276,5.77978789806366e-06,1.3684853911399841e-05,0.019460625015199184,0.025030722595808186,4.527454421000002,0.11463850605260717,30.999467336000006,0.9231452207599559,0.8899372573662175,0.8914083333333336,1.6040335356617887,0.8914,0.39014115492048074,1.0,0.0
4,0.002745655999994767,0.001590555999996468,0.00026668100000648565,0.0009399745613336563,5.209818482398987e-06,1.353491097688675e-05,0.019722907338291407,0.02528451962908207,4.515678917999999,0.13992302568168924,35.515146254,0.9303346661730082,0.9216646245050751,0.923,1.3577694142588412,0.923,0.39623809992741627,1.0,0.0
5,0.002831217000000663,0.0015085729999952946,0.00025452799999925446,0.0009436123073101044,5.0496309995651245e-06,1.3255048543214798e-05,0.01922644628211856,0.024782681268966655,4.512758431999998,0.1647057069506559,40.027904686,0.9341178222459897,0.9366543239208318,0.9375833333333333,1.1367131494485532,0.9376,0.3749339068106815,1.0,0.0
6,0.0027313199999952076,0.001499656999996546,0.00026154100000042035,0.0009477599523961544,5.630776286125183e-06,1.3855751603841782e-05,0.02006101282313466,0.025520777303412956,4.5201930730000015,0.19022648425406885,44.548097759,0.9412026711245947,0.9440833080475786,0.9445999999999999,0.9002535099419542,0.9446,0.3849836554431293,1.0,0.0
7,0.002769770999996979,0.0015243019999999774,0.00026706100000239985,0.0009359368123114109,5.43985515832901e-06,1.3865996152162552e-05,0.018178647849708796,0.023695024513330054,4.515618002000004,0.2139215087673989,49.063715761000005,0.9432268299111092,0.9509103720728357,0.9512,0.7098860704479888,0.9512,0.3636250871030313,1.0,0.0
8,0.0028148660000013592,0.001460633000000655,0.0002659590000035905,0.0009845886379480362,5.208887159824371e-06,1.3624783605337143e-05,0.01795620983466506,0.023501090143383863,4.507274824,0.23742259891078277,53.570990585000004,0.9484608272649931,0.953392124992077,0.9535999999999999,0.5394070668342396,0.9536,0.3680173296729409,1.0,0.0
9,0.0027621569999993767,0.00155878700000045,0.000260388999997474,0.0009678076021373272,5.8407895267009735e-06,1.4416873455047607e-05,0.02139071887359023,0.026960117138706607,4.519034115000004,0.2643827160494894,58.09002470000001,0.9518808383307039,0.9566288215098465,0.9566,0.40793883200651543,0.9566,0.3588232710579957,1.0,0.0
10,0.002792554000002667,0.001569437000000562,0.00026510800000068,0.000942078884691,5.6908465921878815e-06,1.3324897736310959e-05,0.01883172383531928,0.02441991746434269,4.503152141000001,0.28880263351383206,62.59317684100001,0.9542471362852208,0.9593079560835028,0.9593166666666669,0.314718859692732,0.9593,0.3450733789042288,1.0,0.0
